issue_url,issue_label,issue_number,issue_date,piece_title,piece_url,author,type
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,The Third World Is Here (Part 4),http://evergreenreview.com/read/the-third-world-is-here-4/,José García Escobar,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Two Endings and Four Other Things,http://evergreenreview.com/read/two-endings-and-four-other-things/,Laurie Stone,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,"Indifferent Goddess: Blondie, Dirty Harry and New York Punk",http://evergreenreview.com/read/indifferent-goddess/,Lisa Dierbeck,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Kevin Killian: I Can Explain Everything,http://evergreenreview.com/read/kevin-killian-i-can-explain-everything-4/,Lonely Christopher,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,5 Poems,http://evergreenreview.com/read/5-poems-george-kalogeris/,George Kalogeris,Poetry
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Men,http://evergreenreview.com/read/men/,Camille Claudel,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Cubacon,http://evergreenreview.com/read/cubacon/,Suzanne Gardinier,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Kevin Killian: I Can Explain Everything,http://evergreenreview.com/read/kevin-killian-i-can-explain-everything-3/,Lonely Christopher,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,The Call Out,http://evergreenreview.com/read/the-call-out/,Cat Fitzpatrick,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Extractor,http://evergreenreview.com/read/extractor/,William Jamieson,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Reclaimer,http://evergreenreview.com/read/reclaimer/,William Jamieson,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Minor Victories,http://evergreenreview.com/read/minor-victories/,Ibtisam Azem,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,The Third World Is Here,http://evergreenreview.com/read/the-third-world-is-here-3/,José García Escobar,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Outside the Box,http://evergreenreview.com/read/outside-the-box/,Belén Fernández,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,3 Poems,http://evergreenreview.com/read/3-poems-alfian-saat/,Alfian Sa'at,Poetry
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Kevin Killian: I Can Explain Everything,http://evergreenreview.com/read/kevin-killian-i-can-explain-everything-2/,Lonely Christopher,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,jane says,http://evergreenreview.com/read/interview-ann-shelton-jane-says/,"Ann Shelton, Joy Garnett",Interview
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,The Great Ultimate,http://evergreenreview.com/read/the-great-ultimate/,Alle C. Hall,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Brontez Purnell: Two Videos,http://evergreenreview.com/watch/brontez-purnell/,Brontez Purnell,Video
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Brontez Purnell in Conversation With Miguel Gutierrez,http://evergreenreview.com/read/brontez-purnell-in-conversation-with-miguel-gutierrez/,"Brontez Purnell, Miguel Gutierrez",Interview
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,The Third World Is Here,http://evergreenreview.com/read/the-third-world-is-here-2/,José García Escobar,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Abolish ICE,http://evergreenreview.com/read/abolish-ice/,Natascha Elena Uhlmann,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Kevin Killian: I Can Explain Everything,http://evergreenreview.com/read/kevin-killian-i-can-explain-everything/,Lonely Christopher,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Rent Check,http://evergreenreview.com/read/rent-check/,Mark Jacobs,
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,4 Poems,http://evergreenreview.com/read/4-poems-tara-bergin/,Tara Bergin,Poetry
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,6 Poems,http://evergreenreview.com/read/6-poems-larry-weisman/,Larry Weisman,Poetry
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,Xiao Ma’s New Outfit,http://evergreenreview.com/read/xiao-mas-new-outfit/,"R. Orion Martin, Zhai Yanjun",
http://evergreenreview.com/fw19/,F/W,,Fall / Winter 2019,The Third World Is Here,http://evergreenreview.com/read/the-third-world-is-here-1/,José García Escobar,
http://evergreenreview.com/fw20/,F/W,,Fall / Winter 2020,The Evergreen Review Podcast #004 - Yasmin Nair,https://evergreenreview.com/podcast/004-yasmin-nair,"Yasmin Nair, Dale Peck",Podcast
http://evergreenreview.com/fw20/,F/W,,Fall / Winter 2020,Women Indoors,http://evergreenreview.com/read/women-indoors/,Sarah Fonseca,
